6
199
117
687
200   40   20
137   4   15   6   10   7   10   10   15   8   
138   4   5   15   5   15   15   7   11   6   
139   4   9   10   10   14   10   10   15   5   
140   2   10   10   10   10   
141   4   7   10   13   9   12   12   9   14   
142   4   5   12   15   7   6   12   11   11   
143   3   12   12   10   10   10   9   
144   2   7   11   8   12   
145   6   10   10   11   8   12   12   13   6   10   5   13   7   
146   2   11   7   8   11   
147   4   11   9   9   9   9   11   13   8   
148   3   12   12   11   11   12   5   
149   2   13   7   11   9   
150   6   11   11   10   15   15   6   12   10   10   10   9   9   
151   1   6   12   
152   5   5   14   8   8   8   8   9   15   15   6   
153   6   6   10   7   12   14   7   12   12   9   9   9   9   
154   1   10   7   
155   5   15   6   5   12   11   10   11   11   7   10   
156   2   7   13   13   5   
157   4   5   15   8   15   12   12   8   8   
158   1   9   9   
159   2   6   13   5   11   
160   5   15   5   10   11   14   5   10   5   9   11   
161   4   14   5   10   12   9   14   12   7   
162   5   12   7   12   7   10   13   13   5   10   15   
163   3   12   5   12   10   8   8   
164   6   9   9   8   13   12   7   5   11   5   14   11   11   
165   6   15   6   15   7   10   5   5   12   14   9   9   9   
166   1   8   10   
167   1   10   10   
168   1   14   7   
169   5   8   14   10   10   7   14   5   12   9   13   
170   6   11   11   9   9   11   11   9   14   10   9   6   13   
171   1   14   10   
172   1   8   8   
173   2   8   10   12   12   
174   3   8   8   5   13   11   5   
175   3   8   8   9   11   5   11   
176   4   15   7   11   7   7   10   8   15   
177   1   10   12   
178   6   9   11   13   5   11   11   8   8   12   12   11   11   
179   5   8   15   6   11   10   10   7   11   12   6   
180   2   10   13   13   8   
181   2   12   8   11   11   
182   5   9   9   8   8   5   13   9   15   6   15   
183   1   10   9   
184   1   10   9   
185   4   9   10   14   7   7   14   10   10   
186   6   9   12   9   9   8   8   10   13   5   14   11   6   
187   2   7   15   9   9   
188   6   8   10   10   10   5   12   11   11   11   8   13   9   
189   4   12   12   5   12   12   12   15   9   
190   1   9   9   
191   6   12   12   8   14   10   12   14   9   9   9   13   7   
192   1   5   14   
193   1   8   8   
194   1   14   8   
195   5   12   12   12   12   11   11   9   11   6   10   
196   2   8   13   10   15   
197   2   7   11   11   6   
198   4   12   12   8   13   12   12   9   9   
199   2   5   13   13   6   
